vehicle_id,driver_id,make,model,year,license_plate,color,is_active
62,270,Honda,CR-V,2017,IM478,White,True
63,276,Hyundai,Elantra,2021,SH475,White,True
64,278,Toyota,RAV4,2017,DZ182,Silver,True
65,283,Toyota,Camry,2018,OF588,Red,True
66,298,Tesla,Model 3,2025,SI240,Silver,True
67,299,Toyota,Camry,2021,ZO540,Red,True
68,306,Honda,Accord,2018,NH404,Blue,True
69,307,Nissan,Sentra,2025,RA186,Silver,False
70,308,Ford,Focus,2019,RH710,Silver,False
71,312,Tesla,Model 3,2015,SB476,Red,True
72,318,Toyota,Prius,2026,XM490,White,True
73,319,Toyota,RAV4,2023,YK732,Red,True
74,320,Hyundai,Elantra,2025,IB345,Black,True
75,321,Toyota,Prius,2018,FL259,White,True
76,324,Nissan,Rogue,2025,TX637,White,True
77,330,Tesla,Model Y,2017,TR104,Silver,True
78,334,Nissan,Rogue,2017,KD774,Blue,True
79,340,Toyota,Corolla,2019,WT896,White,True
80,342,Tesla,Model Y,2021,HX488,Red,True
81,345,Toyota,RAV4,2017,TH767,Blue,True
82,349,Honda,Accord,2022,EO422,Grey,True
83,350,Hyundai,Sonata,2021,WF307,Red,True
84,360,Honda,Accord,2023,YP298,Black,True
85,363,Tesla,Model 3,2018,FR306,Black,True
86,371,Toyota,Corolla,2024,CF723,Red,True
87,372,Hyundai,Sonata,2025,SD151,Grey,True
88,375,Toyota,RAV4,2016,MH241,Black,True
89,382,Nissan,Rogue,2025,LU997,Blue,True
90,385,Hyundai,Sonata,2025,BJ640,White,True
91,388,Nissan,Sentra,2023,YS533,Red,True
92,398,Toyota,RAV4,2021,NB893,Red,True
93,399,Tesla,Model 3,2017,EN996,Blue,True
94,401,Ford,Focus,2017,WN986,Silver,True
95,407,Nissan,Altima,2020,OM486,Red,False
96,410,Hyundai,Tucson,2016,UK894,Grey,True
97,411,Honda,Civic,2019,FO746,Black,True
98,415,Tesla,Model Y,2022,FR719,Black,True
99,416,Toyota,Corolla,2018,UJ643,Silver,True
100,420,Toyota,Prius,2019,LG842,Silver,False
101,421,Hyundai,Tucson,2015,SP687,Silver,True
102,423,Tesla,Model 3,2019,IT297,Blue,False
103,424,Ford,Focus,2026,XU486,Blue,False
104,425,Nissan,Sentra,2015,SL496,White,True
105,431,Toyota,Corolla,2026,AO532,Blue,True
106,435,Hyundai,Sonata,2020,XA157,Grey,True
107,437,Tesla,Model Y,2025,QR750,Silver,True
108,440,Toyota,RAV4,2023,NJ842,Black,True
109,442,Honda,Accord,2017,AN636,Grey,True
110,445,Nissan,Sentra,2016,XP549,White,True
111,453,Tesla,Model Y,2019,LY123,Black,True
112,456,Ford,Fusion,2025,NA653,Black,True
113,460,Nissan,Altima,2026,FB305,Black,True
114,462,Honda,Civic,2022,RA960,Grey,True
115,463,Honda,Accord,2024,VW592,Red,True
116,465,Nissan,Altima,2018,DS352,Black,True
117,471,Tesla,Model 3,2018,FT560,Grey,True
118,473,Ford,Focus,2024,BF984,Blue,True
119,475,Honda,Civic,2019,FY640,Black,False
120,476,Hyundai,Tucson,2026,CL380,Blue,True
121,482,Toyota,Corolla,2022,YJ440,Blue,True
122,485,Hyundai,Elantra,2024,HT219,Red,True
123,489,Tesla,Model Y,2021,BI962,Silver,True
124,494,Ford,Fusion,2019,IR779,White,True
125,496,Tesla,Model Y,2022,SB511,White,True
126,497,Tesla,Model 3,2017,SH574,White,False
127,500,Hyundai,Sonata,2019,FF730,Black,True
128,503,Toyota,Corolla,2019,LG421,Black,True
129,506,Honda,Accord,2018,HG834,Red,True
130,509,Tesla,Model 3,2024,FA342,White,True
131,511,Tesla,Model Y,2017,FH241,Silver,True
132,515,Ford,Fusion,2023,LC764,Grey,True
133,519,Tesla,Model Y,2016,BE541,Black,True
134,521,Hyundai,Sonata,2019,ZL609,Grey,True
135,523,Tesla,Model Y,2022,UZ305,Grey,False
136,526,Nissan,Altima,2024,KL952,White,True
137,531,Hyundai,Elantra,2020,BD741,Black,True
138,535,Toyota,Corolla,2016,TX847,White,True
139,537,Hyundai,Sonata,2021,HK975,Grey,True
140,547,Tesla,Model Y,2019,JK177,Red,True
141,552,Tesla,Model 3,2015,ZW106,Red,True
142,557,Hyundai,Sonata,2025,VB954,Red,True
143,566,Ford,Fusion,2026,HM418,White,True
144,571,Toyota,RAV4,2019,SQ631,Blue,True
145,589,Nissan,Altima,2019,RZ844,Grey,True
146,591,Toyota,Prius,2026,RJ285,White,True
147,597,Nissan,Rogue,2023,WZ684,Blue,True
148,599,Honda,Civic,2018,GT611,White,True
149,600,Hyundai,Sonata,2021,GY940,Red,True
150,602,Toyota,RAV4,2025,YH160,Red,True
151,603,Hyundai,Elantra,2016,GF985,Blue,True
152,606,Nissan,Altima,2025,JH100,White,True
153,607,Toyota,RAV4,2017,MF376,White,False
154,609,Hyundai,Sonata,2019,SN351,Red,True
155,610,Nissan,Altima,2017,EA446,Blue,True
156,617,Ford,Escape,2020,ZR967,White,True
157,619,Hyundai,Tucson,2019,AL970,Black,True
158,623,Hyundai,Elantra,2023,SX260,Silver,True
159,627,Ford,Escape,2023,XR834,Red,True
160,628,Ford,Fusion,2025,UH713,Red,True
161,631,Ford,Focus,2017,DE856,Black,True
162,635,Toyota,Prius,2017,ZI430,Red,True
163,640,Honda,Civic,2016,YI150,Blue,False
164,642,Ford,Focus,2015,CF336,Grey,True
165,643,Honda,CR-V,2022,SB606,Grey,True
166,646,Nissan,Altima,2018,OY332,Grey,False
167,648,Tesla,Model Y,2025,KY453,Blue,True
168,652,Hyundai,Tucson,2026,TM758,Silver,True
169,654,Toyota,Prius,2022,KT977,Blue,True
170,658,Nissan,Rogue,2021,TT882,Grey,True
171,660,Tesla,Model Y,2026,EB253,Red,True
172,661,Ford,Escape,2015,DE676,Blue,True
173,671,Nissan,Sentra,2015,HP122,Red,True
174,673,Tesla,Model Y,2017,MG398,Red,True
175,675,Tesla,Model 3,2021,CP167,Grey,True
176,678,Toyota,Camry,2017,OJ614,Blue,True
177,686,Ford,Focus,2015,SL581,White,True
178,687,Tesla,Model 3,2020,IF101,Grey,True
179,694,Tesla,Model 3,2023,CA470,Grey,True
180,703,Ford,Focus,2021,MF459,Silver,False
181,711,Nissan,Sentra,2018,TY889,Silver,True
182,712,Ford,Fusion,2026,IU157,Blue,True
183,714,Tesla,Model 3,2025,CS524,White,True
184,716,Nissan,Sentra,2020,GO705,Red,True
185,718,Honda,Accord,2023,KT560,Grey,True
186,723,Ford,Fusion,2015,ZD734,Grey,True
187,727,Nissan,Rogue,2016,SE952,White,True
188,728,Toyota,Corolla,2016,FM913,White,True
189,733,Nissan,Sentra,2025,OC196,Red,True
190,735,Ford,Fusion,2022,WH886,Red,True
191,738,Honda,Accord,2022,DP750,Black,True
192,743,Ford,Escape,2015,LH554,Red,True
193,745,Nissan,Rogue,2025,XM120,Blue,False
194,746,Hyundai,Tucson,2017,EN322,Blue,True
195,750,Ford,Focus,2018,IP772,White,True
196,751,Hyundai,Elantra,2022,KE103,Red,True
197,754,Ford,Focus,2015,VQ602,Blue,True
198,758,Nissan,Rogue,2022,UM347,Red,False
199,763,Hyundai,Sonata,2020,IM779,White,True
200,766,Nissan,Sentra,2024,DE735,Red,True
201,772,Honda,Accord,2016,WA679,Red,True
202,782,Ford,Fusion,2025,TN210,Red,True
203,783,Honda,CR-V,2022,DO471,Grey,True
204,784,Honda,CR-V,2021,ZY269,White,True
205,790,Toyota,Corolla,2020,HA529,Black,True
206,793,Nissan,Rogue,2017,AS421,Blue,False
207,794,Hyundai,Tucson,2026,SF951,Blue,False
208,801,Ford,Focus,2026,VX439,White,True
209,804,Honda,Civic,2022,RI763,Red,False
210,808,Honda,Civic,2025,KE912,White,True
211,816,Hyundai,Sonata,2016,IB492,Red,True
212,821,Nissan,Sentra,2022,GF979,Blue,True
213,822,Toyota,Camry,2015,WD215,Black,True
214,823,Honda,Accord,2021,CL641,Silver,True
215,824,Tesla,Model Y,2023,WH936,Grey,False
216,827,Hyundai,Elantra,2015,KL886,Silver,True
217,829,Honda,Accord,2023,AK332,Grey,True
218,833,Nissan,Altima,2016,DI297,Red,True
219,838,Ford,Escape,2021,GX607,Red,True
220,842,Nissan,Rogue,2025,YE578,Red,False
221,843,Nissan,Sentra,2022,DS825,Silver,True
222,846,Hyundai,Elantra,2021,UD283,Red,True
223,847,Hyundai,Sonata,2016,JH299,Black,True
224,854,Ford,Escape,2019,VB784,White,True
225,855,Honda,CR-V,2022,QO126,Silver,True
226,858,Honda,CR-V,2019,PS199,Grey,True
227,859,Nissan,Rogue,2016,OU374,Red,True
228,862,Hyundai,Tucson,2020,EI376,Grey,True
229,873,Nissan,Altima,2025,OT280,Silver,True
230,877,Tesla,Model Y,2024,EL106,Grey,True
231,879,Hyundai,Sonata,2016,WX780,Silver,True
232,880,Honda,CR-V,2021,IE751,Red,True
233,881,Nissan,Altima,2020,EC160,Grey,True
234,888,Tesla,Model 3,2016,QR457,Grey,False
235,889,Toyota,Camry,2025,HW191,Red,True
236,894,Honda,Civic,2020,IU588,Red,True
237,895,Ford,Focus,2021,ZV482,Blue,False
238,898,Toyota,RAV4,2021,KW925,Grey,True
239,901,Hyundai,Elantra,2026,RZ194,Silver,True
240,908,Ford,Escape,2015,DS378,Black,True
241,917,Honda,Accord,2020,FX769,Silver,True
242,920,Nissan,Altima,2020,AJ572,Blue,True
243,921,Hyundai,Sonata,2022,YR863,White,True
244,923,Tesla,Model Y,2019,PP591,Black,True
245,925,Ford,Escape,2023,BN543,Silver,True
246,932,Nissan,Sentra,2018,PU347,Black,True
247,933,Ford,Fusion,2026,MS879,White,True
248,937,Nissan,Altima,2015,GG751,Blue,True
249,940,Hyundai,Sonata,2022,HY325,White,True
250,950,Toyota,Prius,2019,FS308,White,True
251,953,Toyota,RAV4,2023,SR826,Black,True
252,959,Hyundai,Elantra,2018,NL692,Black,False
253,961,Nissan,Altima,2020,DL214,Black,True
254,962,Toyota,RAV4,2016,TB507,Blue,True
255,965,Honda,Accord,2022,FK967,Black,True
256,969,Toyota,Prius,2016,OW221,Blue,True
257,972,Tesla,Model Y,2024,RV553,Blue,True
258,974,Toyota,Prius,2022,JN522,Black,True
259,978,Tesla,Model Y,2015,IB789,Red,True
260,982,Tesla,Model Y,2016,QK947,White,True
261,983,Tesla,Model 3,2023,UQ118,Grey,True
262,987,Tesla,Model Y,2022,ZZ829,Blue,True
263,993,Tesla,Model 3,2018,LX362,Blue,True
264,994,Hyundai,Tucson,2021,QQ858,Red,True
265,997,Honda,Accord,2023,GX359,White,False
266,999,Honda,Civic,2015,RF993,Red,True
267,1004,Toyota,Prius,2022,YK363,Silver,True
268,1014,Ford,Escape,2018,WN218,White,True
269,1021,Honda,CR-V,2016,WZ773,Black,True
270,1030,Hyundai,Sonata,2026,PE883,Red,False
271,1034,Ford,Escape,2017,MZ648,Red,True
272,1036,Ford,Fusion,2024,FA415,Grey,True
273,1041,Toyota,Camry,2016,XQ560,Blue,True
274,1042,Toyota,Prius,2025,IM786,White,True
275,1044,Honda,CR-V,2020,PE208,Red,True
276,1050,Honda,Accord,2016,VS651,White,True
277,1053,Nissan,Rogue,2020,YF164,Black,True
278,1055,Toyota,Camry,2024,LJ490,Black,True
279,1064,Hyundai,Tucson,2019,GY149,Blue,True
280,1071,Ford,Focus,2015,UK368,Silver,True
281,1077,Tesla,Model 3,2016,XL436,Red,True
282,1078,Tesla,Model Y,2022,CZ259,Red,True
283,1080,Toyota,Corolla,2025,SM737,White,True
284,1081,Tesla,Model 3,2024,FR121,Red,True
285,1085,Hyundai,Tucson,2025,FF151,Blue,True
286,1086,Tesla,Model 3,2019,FL952,Silver,True
287,1090,Hyundai,Tucson,2026,AY536,Blue,True
288,1095,Hyundai,Sonata,2017,DR801,Red,True
289,1098,Toyota,RAV4,2022,FL986,Black,True
290,1099,Toyota,Prius,2023,XZ858,Grey,False
291,1100,Tesla,Model 3,2025,VU386,Black,True
292,1102,Nissan,Altima,2026,MF596,Grey,True
293,1105,Nissan,Altima,2022,YJ818,White,True
294,1107,Toyota,Corolla,2015,OF336,White,True
295,1109,Toyota,RAV4,2022,RN194,Silver,True
296,1110,Tesla,Model Y,2017,GS282,Grey,True
297,1114,Ford,Focus,2021,YI579,Silver,True
298,1116,Toyota,Prius,2020,FU703,Red,False
299,1119,Honda,Accord,2024,AC177,Red,True
300,1122,Toyota,Camry,2021,FZ981,White,True
301,1123,Tesla,Model 3,2022,FH248,Blue,True
302,1125,Hyundai,Elantra,2020,IC644,Red,True
303,1127,Nissan,Sentra,2023,JS532,White,True
304,1128,Nissan,Rogue,2026,SF469,Silver,True
305,1130,Nissan,Altima,2023,TA362,White,True
306,1132,Tesla,Model 3,2016,ZA220,Silver,True
307,1134,Ford,Fusion,2024,TW515,Silver,True
308,1138,Nissan,Altima,2016,UN990,White,True
309,1140,Ford,Fusion,2018,MF925,White,False
310,1141,Honda,Accord,2015,WO470,Red,True
311,1144,Tesla,Model Y,2016,BE348,Blue,True
312,1146,Honda,Accord,2025,NM253,Grey,True
313,1147,Ford,Escape,2026,AI357,White,True
314,1148,Honda,CR-V,2026,KB457,Blue,True
315,1152,Hyundai,Sonata,2017,SL547,Red,True
316,1155,Honda,Civic,2015,NG482,Black,True
317,1161,Ford,Focus,2020,FC433,Grey,True
318,1164,Ford,Focus,2024,PJ274,Silver,True
319,1167,Nissan,Rogue,2023,UB263,Blue,True
320,1170,Nissan,Altima,2022,AW634,Grey,True
321,1174,Honda,CR-V,2022,HT867,Black,True
322,1181,Honda,CR-V,2020,CB755,Red,False
323,1182,Nissan,Sentra,2015,XY489,Red,True
324,1183,Ford,Focus,2025,CS236,White,True
325,1189,Honda,CR-V,2016,HH780,Blue,False
326,1194,Ford,Escape,2016,LY165,Silver,True
327,1196,Honda,CR-V,2026,GR560,Black,False
328,1200,Honda,Accord,2016,TF885,Silver,False
329,1201,Hyundai,Sonata,2021,EF445,Grey,True
330,1205,Nissan,Rogue,2018,JO531,Grey,True
331,1209,Honda,Accord,2024,CC704,Red,True
332,1211,Tesla,Model 3,2026,SH982,Silver,True
333,1214,Honda,CR-V,2023,MA697,Grey,False
334,1216,Honda,CR-V,2025,WB253,White,False
335,1220,Tesla,Model Y,2020,NA920,Blue,True
336,1221,Ford,Escape,2025,QE877,Blue,True
337,1223,Hyundai,Sonata,2019,OP925,Silver,True
338,1226,Nissan,Altima,2017,VB492,White,True
339,1228,Tesla,Model 3,2019,KM903,Blue,True
340,1230,Nissan,Altima,2017,IM919,Red,True
341,1233,Nissan,Altima,2018,DV224,Red,True
342,1234,Toyota,RAV4,2026,XN145,Blue,True
343,1235,Nissan,Sentra,2024,BP719,Silver,True
344,1236,Toyota,RAV4,2023,NE773,White,True
345,1238,Honda,CR-V,2016,MJ244,Blue,True
346,1241,Tesla,Model Y,2019,GW115,Grey,True
347,1246,Tesla,Model Y,2022,QW817,Black,True
348,1249,Honda,Accord,2018,LA766,Grey,True
349,1252,Hyundai,Tucson,2025,AS441,Grey,True
350,1255,Honda,Accord,2015,KH741,Grey,True
351,1258,Tesla,Model Y,2017,OF175,White,True
352,1260,Tesla,Model 3,2023,GI793,Red,True
353,1264,Tesla,Model Y,2015,NC880,Red,True
354,1265,Toyota,RAV4,2019,ON201,Red,True
355,1270,Honda,CR-V,2015,VE509,White,True
356,1271,Hyundai,Tucson,2023,HV130,Grey,True
357,1276,Tesla,Model Y,2019,DG367,White,True
358,1289,Hyundai,Elantra,2016,GZ898,White,True
359,1291,Nissan,Rogue,2022,ND606,Blue,True
360,1292,Tesla,Model 3,2016,AU894,Grey,True
361,1293,Nissan,Rogue,2019,ZT156,White,True
362,1294,Ford,Focus,2015,IJ346,Red,False
363,1299,Tesla,Model Y,2021,WC437,Red,True
364,1306,Ford,Escape,2023,NJ220,Black,True
365,1308,Toyota,Corolla,2023,EG930,Grey,True
366,1309,Hyundai,Elantra,2016,WD712,Grey,False
367,1312,Honda,Civic,2017,ML225,Blue,True
368,1313,Nissan,Altima,2021,IJ416,Black,True
369,1316,Honda,CR-V,2016,DX317,White,True
370,1318,Tesla,Model 3,2015,GO558,Silver,True
371,1321,Honda,Civic,2020,FO605,Red,True
372,1324,Toyota,Corolla,2020,PV645,Red,True
373,1331,Toyota,RAV4,2015,MQ323,Silver,True
374,1332,Ford,Escape,2022,LP986,White,True
375,1336,Toyota,Corolla,2024,NY109,Silver,True
376,1337,Toyota,Corolla,2016,BN945,Blue,True
377,1338,Honda,Accord,2018,WG165,Blue,True
378,1342,Honda,Civic,2023,ZI299,Grey,True
379,1344,Honda,CR-V,2015,TJ559,White,True
380,1348,Tesla,Model 3,2024,FT952,Silver,True
381,1354,Ford,Fusion,2021,BI730,Black,True
382,1370,Honda,Accord,2022,NZ136,Blue,True
383,1375,Hyundai,Elantra,2025,CP137,Grey,True
384,1376,Toyota,Corolla,2026,KK544,White,True
385,1379,Ford,Escape,2018,DQ346,Silver,True
386,1382,Hyundai,Tucson,2021,RO291,White,True
387,1387,Toyota,Corolla,2024,AC419,Silver,True
388,1389,Toyota,RAV4,2015,PT350,Silver,True
389,1390,Nissan,Altima,2018,TS202,White,True
390,1392,Toyota,RAV4,2018,GF553,Black,True
391,1396,Tesla,Model 3,2015,JW400,Blue,True
392,1397,Nissan,Sentra,2024,FB446,Grey,True
393,1399,Hyundai,Sonata,2018,FJ344,Red,True
394,1403,Hyundai,Elantra,2023,RH776,Silver,True
395,1404,Honda,Civic,2016,OJ719,Red,True
396,1413,Tesla,Model 3,2015,IY819,Black,True
397,1419,Ford,Escape,2017,IC501,Grey,True
398,1420,Ford,Escape,2026,YP194,Silver,True
399,1425,Honda,CR-V,2019,FH224,Blue,True
400,1435,Toyota,Camry,2019,IL691,Grey,False
401,1438,Ford,Fusion,2026,NY623,Grey,True
402,1439,Ford,Fusion,2026,KZ980,Silver,True
403,1441,Toyota,Corolla,2016,GQ614,Grey,False
404,1443,Toyota,Camry,2017,MS318,Black,True
405,1444,Ford,Escape,2023,IO714,Red,False
406,1456,Toyota,RAV4,2015,SY861,Red,True
407,1463,Hyundai,Sonata,2022,AF133,Silver,True
408,1469,Nissan,Rogue,2021,LJ265,Blue,True
409,1470,Ford,Escape,2021,YR387,Black,True
410,1475,Nissan,Sentra,2017,LX777,Grey,True
411,1477,Tesla,Model Y,2026,HM300,Red,True
412,1480,Ford,Fusion,2026,YE650,Grey,True
413,1481,Nissan,Altima,2017,NR903,Black,True
414,1490,Toyota,Prius,2023,SB965,Blue,True
415,1495,Toyota,Camry,2025,IW492,Silver,True
416,1497,Hyundai,Sonata,2019,OF870,Black,True
417,1502,Honda,CR-V,2026,GQ827,Blue,True
418,1503,Tesla,Model Y,2020,NX402,White,True
419,1504,Ford,Fusion,2020,WI694,Silver,True
420,1507,Tesla,Model 3,2017,CU150,Grey,True
421,1508,Toyota,RAV4,2024,AA836,Silver,True
422,1513,Honda,Accord,2019,TK534,White,True
423,1514,Nissan,Sentra,2019,HQ707,White,True
424,1520,Toyota,Corolla,2024,KU902,Black,True
425,1522,Honda,Accord,2015,KP431,Grey,True
426,1525,Ford,Focus,2025,XI540,Silver,True
427,1526,Honda,Civic,2015,FC528,Blue,True
428,1527,Hyundai,Elantra,2021,MX903,Black,True
429,1528,Ford,Escape,2020,IH443,White,True
430,1529,Toyota,Camry,2026,KY360,Black,True
431,1531,Honda,Civic,2015,ST659,Red,True
432,1532,Toyota,RAV4,2019,AZ478,Grey,True
433,1536,Hyundai,Elantra,2024,BS559,Black,True
434,1542,Tesla,Model Y,2017,YH667,Red,True
435,1545,Honda,CR-V,2018,PR309,Red,True
436,1546,Tesla,Model 3,2023,CI126,White,True
437,1549,Hyundai,Tucson,2020,VN776,Blue,False
438,1556,Honda,Civic,2021,BJ900,Silver,True
439,1557,Nissan,Altima,2022,PU956,Blue,True
440,1558,Tesla,Model Y,2017,UN491,Silver,True
441,1561,Tesla,Model Y,2015,XD461,Grey,True
442,1563,Nissan,Altima,2024,JH353,Red,True
443,1573,Ford,Fusion,2024,OQ115,Red,True
444,1576,Tesla,Model Y,2015,QI222,White,True
445,1580,Nissan,Altima,2016,IG883,Silver,True
446,1583,Nissan,Sentra,2025,OB430,Silver,True
447,1585,Honda,Civic,2026,MX788,Red,True
448,1589,Ford,Focus,2023,MC220,Black,True
449,1592,Tesla,Model 3,2020,RY897,White,True
450,1593,Honda,CR-V,2015,OU889,Silver,True
451,1595,Hyundai,Sonata,2015,LN324,Grey,True
452,1602,Honda,Civic,2023,IN332,Red,True
453,1605,Toyota,RAV4,2022,OE752,Blue,True
454,1608,Tesla,Model 3,2026,VM812,Black,True
455,1613,Nissan,Sentra,2015,YH852,Silver,True
456,1623,Hyundai,Elantra,2022,MR692,Black,True
457,1624,Hyundai,Sonata,2019,ZZ877,Silver,False
458,1625,Ford,Escape,2021,CL970,Red,False
459,1626,Toyota,Prius,2023,VJ353,Blue,True
460,1628,Hyundai,Elantra,2025,WC665,Silver,True
461,1631,Nissan,Rogue,2026,QL425,Silver,True
462,1634,Hyundai,Tucson,2024,QX422,Blue,True
463,1639,Tesla,Model Y,2026,TS284,Blue,True
464,1645,Nissan,Altima,2017,BB323,Silver,False
465,1646,Hyundai,Elantra,2025,EO295,Grey,True
466,1647,Tesla,Model 3,2021,PW434,Blue,True
467,1648,Nissan,Sentra,2016,FS371,Grey,True
468,1655,Honda,Civic,2021,DA559,Red,True
469,1656,Honda,Civic,2023,YQ691,Blue,True
470,1657,Nissan,Rogue,2025,JK187,Grey,True
471,1658,Toyota,Prius,2026,BW929,Grey,True
472,1665,Toyota,RAV4,2015,OU911,White,True
473,1666,Honda,Civic,2026,RM538,White,True
474,1670,Nissan,Rogue,2022,AJ320,White,True
475,1671,Toyota,Camry,2023,HL177,Silver,True
476,1675,Toyota,Camry,2025,NY452,Blue,True
477,1676,Hyundai,Tucson,2017,NB675,Blue,True
478,1680,Toyota,Prius,2021,KB572,White,True
479,1681,Honda,Accord,2023,HW572,Blue,True
480,1683,Honda,CR-V,2019,HO452,Black,True
481,1685,Ford,Fusion,2021,IN912,Silver,True
482,1689,Honda,Civic,2016,SQ767,Blue,True
483,1696,Ford,Focus,2021,HG280,Blue,True
484,1698,Nissan,Rogue,2015,AM119,Red,True
485,1699,Tesla,Model Y,2023,PU328,White,True
486,1712,Ford,Focus,2020,OV783,Blue,True
487,1714,Toyota,RAV4,2021,GA482,Black,True
488,1730,Toyota,Prius,2023,MP170,Grey,True
489,1732,Nissan,Sentra,2019,WZ388,Blue,True
490,1735,Honda,CR-V,2017,DR639,Blue,True
491,1736,Honda,Accord,2021,EF809,Black,False
492,1740,Tesla,Model Y,2021,XF322,White,True
493,1744,Tesla,Model 3,2016,NN806,Red,True
494,1747,Hyundai,Elantra,2017,PS881,Red,True
495,1748,Tesla,Model 3,2020,UI412,Black,True
496,1753,Toyota,Camry,2024,YC383,Black,True
497,1754,Hyundai,Sonata,2021,TA601,Silver,True
498,1763,Nissan,Altima,2023,YQ302,Grey,False
499,1769,Tesla,Model 3,2018,OQ308,Grey,True
500,1772,Honda,CR-V,2025,UQ265,Blue,True
501,1774,Tesla,Model 3,2016,NK671,Silver,True
502,1776,Honda,CR-V,2017,GQ693,Silver,True
503,1777,Tesla,Model 3,2017,YK134,Black,True
504,1778,Hyundai,Elantra,2015,VT517,Grey,True
505,1780,Tesla,Model Y,2026,ZB174,Blue,True
506,1786,Hyundai,Sonata,2017,MP113,Red,True
507,1787,Tesla,Model 3,2017,YG583,Blue,False
508,1790,Nissan,Altima,2023,SN643,Black,True
509,1791,Nissan,Sentra,2024,GJ354,Black,True
510,1792,Tesla,Model 3,2023,VF277,Red,True
511,1796,Hyundai,Tucson,2018,WQ748,Red,True
512,1797,Ford,Focus,2018,WT680,Black,True
513,1802,Honda,Civic,2022,QY906,Grey,False
514,1810,Toyota,Prius,2024,PM535,Silver,True
515,1811,Ford,Escape,2021,AX947,Red,True
516,1813,Honda,Civic,2017,KZ894,Black,True
517,1817,Nissan,Altima,2023,UK933,Blue,True
518,1822,Nissan,Sentra,2021,AV448,Grey,True
519,1825,Honda,Civic,2026,UJ153,Blue,True
520,1828,Toyota,Corolla,2024,SE795,Silver,True
521,1833,Toyota,Corolla,2026,ED383,Black,True
522,1843,Tesla,Model 3,2019,WO361,Blue,True
523,1847,Honda,Civic,2018,BI675,Blue,True
524,1849,Tesla,Model Y,2023,UR414,Silver,True
525,1851,Honda,Accord,2025,NY657,Red,True
526,1859,Toyota,RAV4,2017,WY326,Blue,True
527,1863,Hyundai,Elantra,2021,CR820,White,True
